part_serial_number,FT_Length_mm,FT_length_category,F_or_B,Layer,Module,PEB_type,Quadrant,Row,SU_Module,SU_Row,SU_type,Vessel
V2:L2:Q1:R9:M7,277.7,47,B,2,7,3B,1,9,3,2,BO05,2
V2:L2:Q1:R9:M6,236.6,51,B,2,6,3B,1,9,2,2,BO05,2
V2:L2:Q1:R9:M5,195.4,54,B,2,5,3B,1,9,1,2,BO05,2
V2:L2:Q1:R9:M4,154.3,56,B,2,4,3B,1,9,4,2,BO04,2
V2:L2:Q1:R9:M3,113.1,58,B,2,3,3B,1,9,3,2,BO04,2
V2:L2:Q1:R9:M2,71.8,60,B,2,2,3B,1,9,2,2,BO04,2
V2:L2:Q1:R9:M1,30.7,62,B,2,1,3B,1,9,1,2,BO04,2
V2:L2:Q1:R10:M7,306.6,44,B,2,7,3B,1,10,5,1,BO05,2
V2:L2:Q1:R19:M1,30.7,62,B,2,1,1F,1,19,1,3,BO12,2
V2:L2:Q1:R20:M18,645.5,3,B,2,18,1F,1,20,4,2,BI12,2
V2:L2:Q1:R20:M17,613.3,8,B,2,17,1F,1,20,3,2,BI12,2
V2:L2:Q1:R20:M16,581.2,13,B,2,16,1F,1,20,2,2,BI12,2
V2:L2:Q1:R20:M15,549.1,19,B,2,15,1F,1,20,1,2,BI12,2
V2:L2:Q1:R20:M14,516.9,24,B,2,14,1F,1,20,4,2,BM11,2
V2:L2:Q1:R20:M13,481.9,28,B,2,13,1F,1,20,3,2,BM11,2
V2:L2:Q1:R20:M12,446.8,31,B,2,12,1F,1,20,2,2,BM11,2
V2:L2:Q1:R1:M9,341.7,40,B,2,9,1B,1,1,4,3,BM02,2
V2:L2:Q1:R1:M8,306.6,44,B,2,8,1B,1,1,3,3,BM02,2
V2:L2:Q1:R1:M7,271.6,48,B,2,7,1B,1,1,2,3,BM02,2
V2:L2:Q1:R1:M6,236.6,51,B,2,6,1B,1,1,1,3,BM02,2
V2:L2:Q1:R1:M5,195.4,54,B,2,5,1B,1,1,5,3,BO01,2
V2:L2:Q1:R1:M4,154.3,56,B,2,4,1B,1,1,4,3,BO01,2
V2:L2:Q1:R1:M3,113.1,58,B,2,3,1B,1,1,3,3,BO01,2
V2:L2:Q1:R1:M2,71.8,60,B,2,2,1B,1,1,2,3,BO01,2
V2:L2:Q1:R10:M6,271.6,48,B,2,6,3B,1,10,4,1,BO05,2
V2:L2:Q1:R10:M5,236.6,51,B,2,5,3B,1,10,3,1,BO05,2
V2:L2:Q1:R10:M4,195.4,54,B,2,4,3B,1,10,2,1,BO05,2
V2:L2:Q1:R10:M3,154.3,56,B,2,3,3B,1,10,1,1,BO05,2
V2:L2:Q1:R10:M2,113.1,58,B,2,2,3B,1,10,2,1,BO04,2
V2:L2:Q1:R10:M1,71.8,60,B,2,1,3B,1,10,1,1,BO04,2
V2:L2:Q1:R11:M6,271.6,48,B,2,6,3B,1,11,6,2,BO06,2
V2:L2:Q1:R20:M11,411.8,34,B,2,11,1F,1,20,1,2,BM11,2
V2:L2:Q1:R20:M10,376.7,37,B,2,10,1F,1,20,5,2,BM12,2
V2:L2:Q1:R20:M9,341.7,40,B,2,9,1F,1,20,4,2,BM12,2
V2:L2:Q1:R20:M8,306.6,44,B,2,8,1F,1,20,3,2,BM12,2
V2:L2:Q1:R20:M7,271.6,48,B,2,7,1F,1,20,2,2,BM12,2
V2:L2:Q1:R20:M6,236.6,51,B,2,6,1F,1,20,1,2,BM12,2
V2:L2:Q1:R20:M5,195.4,54,B,2,5,1F,1,20,5,2,BO12,2
V2:L2:Q1:R1:M1,30.7,62,B,2,1,1B,1,1,1,3,BO01,2
V2:L2:Q1:R2:M18,636.5,5,B,2,18,1B,1,2,4,2,BI01,2
V2:L2:Q1:R2:M17,604.3,10,B,2,17,1B,1,2,3,2,BI01,2
V2:L2:Q1:R2:M16,572.2,16,B,2,16,1B,1,2,2,2,BI01,2
V2:L2:Q1:R2:M15,540.1,22,B,2,15,1B,1,2,1,2,BI01,2
V2:L2:Q1:R2:M14,507.9,26,B,2,14,1B,1,2,5,2,BM01,2
V2:L2:Q1:R2:M13,475.8,29,B,2,13,1B,1,2,4,2,BM01,2
V2:L2:Q1:R11:M5,236.6,51,B,2,5,3B,1,11,5,2,BO06,2
V2:L2:Q1:R11:M4,195.4,54,B,2,4,3B,1,11,4,2,BO06,2
V2:L2:Q1:R11:M3,154.3,56,B,2,3,3B,1,11,3,2,BO06,2
V2:L2:Q1:R11:M2,113.1,58,B,2,2,3B,1,11,2,2,BO06,2
V2:L2:Q1:R11:M1,71.8,60,B,2,1,3B,1,11,1,2,BO06,2
V2:L2:Q1:R12:M5,265.5,49,B,2,5,3B,1,12,5,1,BO06,2
V2:L2:Q1:R12:M4,230.5,52,B,2,4,3B,1,12,4,1,BO06,2
V2:L2:Q1:R20:M4,154.3,56,B,2,4,1F,1,20,4,2,BO12,2
V2:L2:Q1:R20:M3,113.1,58,B,2,3,1F,1,20,3,2,BO12,2
V2:L2:Q1:R20:M2,71.8,60,B,2,2,1F,1,20,2,2,BO12,2
V2:L2:Q1:R20:M1,30.7,62,B,2,1,1F,1,20,1,2,BO12,2
V2:L2:Q1:R21:M18,636.5,5,B,2,18,1F,1,21,4,1,BI12,2
V2:L2:Q1:R21:M17,604.3,10,B,2,17,1F,1,21,3,1,BI12,2
V2:L2:Q1:R21:M16,572.2,16,B,2,16,1F,1,21,2,1,BI12,2
V2:L2:Q1:R2:M12,440.7,32,B,2,12,1B,1,2,3,2,BM01,2
V2:L2:Q1:R2:M11,405.7,35,B,2,11,1B,1,2,2,2,BM01,2
V2:L2:Q1:R2:M10,370.6,38,B,2,10,1B,1,2,1,2,BM02,2
V2:L2:Q1:R2:M9,335.6,41,B,2,9,1B,1,2,4,2,BM02,2
V2:L2:Q1:R2:M8,300.5,45,B,2,8,1B,1,2,3,2,BM02,2
V2:L2:Q1:R2:M7,265.5,49,B,2,7,1B,1,2,2,2,BM02,2
V2:L2:Q1:R2:M6,230.5,52,B,2,6,1B,1,2,1,2,BM02,2
V2:L2:Q1:R12:M3,195.4,54,B,2,3,3B,1,12,3,1,BO06,2
V2:L2:Q1:R12:M2,154.3,56,B,2,2,3B,1,12,2,1,BO06,2
V2:L2:Q1:R12:M1,113.1,58,B,2,1,3B,1,12,1,1,BO06,2
V2:L2:Q1:R13:M3,271.6,48,B,2,3,3B,1,13,3,2,BO07,2
V2:L2:Q1:R13:M2,236.6,51,B,2,2,3B,1,13,2,2,BO07,2
V2:L2:Q1:R13:M1,195.4,54,B,2,1,3B,1,13,1,2,BO07,2
V2:L2:Q1:R14:M1,306.6,44,B,2,1,3B,1,14,1,1,BO07,2
V2:L2:Q1:R21:M2,71.8,60,B,2,2,1F,1,21,2,1,BO12,2
V2:L2:Q1:R21:M1,30.7,62,B,2,1,1F,1,21,1,1,BO12,2
V2:L2:Q2:R1:M18,645.5,3,B,2,18,1B,2,1,4,3,BI01,2
V2:L2:Q2:R1:M17,613.3,8,B,2,17,1B,2,1,3,3,BI01,2
V2:L2:Q2:R1:M16,581.2,13,B,2,16,1B,2,1,2,3,BI01,2
V2:L2:Q2:R1:M15,549.1,19,B,2,15,1B,2,1,1,3,BI01,2
V2:L2:Q2:R1:M14,516.9,24,B,2,14,1B,2,1,4,3,BM01,2
V2:L2:Q2:R1:M13,481.9,28,B,2,13,1B,2,1,3,3,BM01,2
V2:L2:Q1:R2:M5,195.4,54,B,2,5,1B,1,2,5,2,BO01,2
V2:L2:Q1:R2:M4,154.3,56,B,2,4,1B,1,2,4,2,BO01,2
V2:L2:Q1:R2:M3,113.1,58,B,2,3,1B,1,2,3,2,BO01,2
V2:L2:Q1:R2:M2,71.8,60,B,2,2,1B,1,2,2,2,BO01,2
V2:L2:Q1:R2:M1,30.7,62,B,2,1,1B,1,2,1,2,BO01,2
V2:L2:Q1:R3:M17,607.2,9,B,2,17,1B,1,3,3,1,BI01,2
V2:L2:Q1:R3:M16,575.1,15,B,2,16,1B,1,3,2,1,BI01,2
V2:L2:Q1:R15:M11,425.3,33,B,2,11,2F,1,15,5,2,BM08,2
V2:L2:Q1:R15:M10,390.3,36,B,2,10,2F,1,15,4,2,BM08,2
V2:L2:Q1:R15:M9,355.2,39,B,2,9,2F,1,15,3,2,BM08,2
V2:L2:Q1:R15:M8,320.2,42,B,2,8,2F,1,15,2,2,BM08,2
V2:L2:Q1:R15:M7,285.1,46,B,2,7,2F,1,15,1,2,BM08,2
V2:L2:Q2:R1:M12,446.8,31,B,2,12,1B,2,1,2,3,BM01,2
V2:L2:Q2:R1:M11,411.8,34,B,2,11,1B,2,1,1,3,BM01,2
V2:L2:Q2:R1:M10,376.7,37,B,2,10,1B,2,1,5,3,BM02,2
V2:L2:Q2:R1:M9,341.7,40,B,2,9,1B,2,1,4,3,BM02,2
V2:L2:Q2:R1:M8,306.6,44,B,2,8,1B,2,1,3,3,BM02,2
V2:L2:Q2:R1:M7,271.6,48,B,2,7,1B,2,1,2,3,BM02,2
V2:L2:Q2:R1:M6,236.6,51,B,2,6,1B,2,1,1,3,BM02,2
V2:L2:Q1:R3:M15,543.0,21,B,2,15,1B,1,3,1,1,BI01,2
V2:L2:Q1:R3:M14,510.8,25,B,2,14,1B,1,3,5,1,BM01,2
V2:L2:Q1:R3:M13,475.8,29,B,2,13,1B,1,3,4,1,BM01,2
V2:L2:Q1:R3:M12,440.7,32,B,2,12,1B,1,3,3,1,BM01,2
V2:L2:Q1:R3:M11,405.7,35,B,2,11,1B,1,3,2,1,BM01,2
V2:L2:Q1:R3:M10,370.6,38,B,2,10,1B,1,3,1,1,BM01,2
V2:L2:Q1:R3:M9,335.6,41,B,2,9,1B,1,3,4,1,BM02,2
V2:L2:Q1:R15:M6,250.1,50,B,2,6,2F,1,15,6,2,BO08,2
V2:L2:Q1:R15:M5,208.9,53,B,2,5,2F,1,15,5,2,BO08,2
V2:L2:Q1:R15:M4,167.8,55,B,2,4,2F,1,15,4,2,BO08,2
V2:L2:Q1:R15:M3,126.6,57,B,2,3,2F,1,15,3,2,BO08,2
V2:L2:Q1:R15:M2,85.4,59,B,2,2,2F,1,15,2,2,BO08,2
V2:L2:Q1:R15:M1,44.2,61,B,2,1,2F,1,15,1,2,BO08,2
V2:L2:Q1:R16:M13,495.4,27,B,2,13,2F,1,16,2,3,BM09,2
V2:L2:Q2:R1:M5,195.4,54,B,2,5,1B,2,1,5,3,BO01,2
V2:L2:Q2:R1:M4,154.3,56,B,2,4,1B,2,1,4,3,BO01,2
V2:L2:Q2:R1:M3,113.1,58,B,2,3,1B,2,1,3,3,BO01,2
V2:L2:Q2:R1:M2,71.8,60,B,2,2,1B,2,1,2,3,BO01,2
V2:L2:Q2:R1:M1,30.7,62,B,2,1,1B,2,1,1,3,BO01,2
V2:L2:Q2:R2:M18,636.5,5,B,2,18,1B,2,2,4,2,BI01,2
