kind_of_part,part_serial_number,manufacturer,location,batch_number,barcode,version,name_label,production_date,comment_description,DU_F_or_B,Disk_per_vessel,Disk_side_from_IP,FT_Length_mm,FT_length_category,Layer,Module,Outdated_ModPos_AS,Outdated_ModPos_DL_Proposal1,Outdated_ModPos_DL_Proposal2,Outdated_Mod_DL_Proposal3,Outdated_Mod_in_Row_in_DU_DL,Outdated_Row_in_DU_DL,Outdated_Vx:Lx:Qx:Rx:Mx,PEB_type,Quadrant,Row,SU_Module,SU_Row,SU_type,Used_for_NTC_Interlock,Vessel
"Slot","V1:L0:Q0:R10:M1","ProdDB-Virtual Manufacturer","CERN-ATLAS (somewhere)","","","","","null","","F","Front","front","71.8","60","0","1","nan","nan","nan","nan","nan","nan","nan","3F","0","10","1","3","FO04","nan","1"
"Slot","V1:L0:Q0:R10:M2","ProdDB-Virtual Manufacturer","CERN-ATLAS (somewhere)","","","","","null","","F","Front","front","113.1","58","0","2","nan","nan","nan","nan","nan","nan","nan","3F","0","10","2","3","FO04","nan","1"
"Slot","V1:L0:Q0:R10:M3","ProdDB-Virtual Manufacturer","CERN-ATLAS (somewhere)","","","","","null","","F","Front","front","154.3","56","0","3","nan","nan","nan","nan","nan","nan","nan","3F","0","10","3","3","FO04","nan","1"
"Slot","V1:L0:Q0:R10:M4","ProdDB-Virtual Manufacturer","CERN-ATLAS (somewhere)","","","","","null","","F","Front","front","195.4","54","0","4","nan","nan","nan","nan","nan","nan","nan","3F","0","10","1","3","FO05","nan","1"
"Slot","V1:L0:Q0:R10:M5","ProdDB-Virtual Manufacturer","CERN-ATLAS (somewhere)","","","","","null","","F","Front","front","236.6","51","0","5","nan","nan","nan","nan","nan","nan","nan","3F","0","10","2","3","FO05","nan","1"
"Slot","V1:L0:Q0:R10:M6","ProdDB-Virtual Manufacturer","CERN-ATLAS (somewhere)","","","","","null","","F","Front","front","277.7","47","0","6","nan","nan","nan","nan","nan","nan","nan","3F","0","10","3","3","FO05","nan","1"
"Slot","V1:L0:Q0:R10:M7","ProdDB-Virtual Manufacturer","CERN-ATLAS (somewhere)","","","","","null","","F","Front","front","312.8","43","0","7","nan","nan","nan","nan","nan","nan","nan","3F","0","10","4","3","FO05","nan","1"
"Slot","V1:L0:Q0:R11:M1","ProdDB-Virtual Manufacturer","CERN-ATLAS (somewhere)","","","","","null","","F","Front","front","113.1","58","0","1","nan","nan","nan","nan","nan","nan","nan","3F","0","11","1","1","FO06","nan","1"
"Slot","V1:L0:Q0:R11:M2","ProdDB-Virtual Manufacturer","CERN-ATLAS (somewhere)","","","","","null","","F","Front","front","154.3","56","0","2","nan","nan","nan","nan","nan","nan","nan","3F","0","11","2","1","FO06","nan","1"
"Slot","V1:L0:Q0:R11:M3","ProdDB-Virtual Manufacturer","CERN-ATLAS (somewhere)","","","","","null","","F","Front","front","195.4","54","0","3","nan","nan","nan","nan","nan","nan","nan","3F","0","11","3","1","FO06","nan","1"
"Slot","V1:L0:Q0:R11:M4","ProdDB-Virtual Manufacturer","CERN-ATLAS (somewhere)","","","","","null","","F","Front","front","236.6","51","0","4","nan","nan","nan","nan","nan","nan","nan","3F","0","11","4","1","FO06","nan","1"
"Slot","V1:L0:Q0:R11:M5","ProdDB-Virtual Manufacturer","CERN-ATLAS (somewhere)","","","","","null","","F","Front","front","271.6","48","0","5","nan","nan","nan","nan","nan","nan","nan","3F","0","11","5","1","FO06","nan","1"
"Slot","V1:L0:Q0:R11:M6","ProdDB-Virtual Manufacturer","CERN-ATLAS (somewhere)","","","","","null","","F","Front","front","306.6","44","0","6","nan","nan","nan","nan","nan","nan","nan","3F","0","11","6","1","FO06","nan","1"
"Slot","V1:L0:Q0:R12:M1","ProdDB-Virtual Manufacturer","CERN-ATLAS (somewhere)","","","","","null","","F","Front","front","113.1","58","0","1","nan","nan","nan","nan","nan","nan","nan","3F","0","12","1","2","FO06","nan","1"
"Slot","V1:L0:Q0:R12:M2","ProdDB-Virtual Manufacturer","CERN-ATLAS (somewhere)","","","","","null","","F","Front","front","154.3","56","0","2","nan","nan","nan","nan","nan","nan","nan","3F","0","12","2","2","FO06","nan","1"
"Slot","V1:L0:Q0:R12:M3","ProdDB-Virtual Manufacturer","CERN-ATLAS (somewhere)","","","","","null","","F","Front","front","195.4","54","0","3","nan","nan","nan","nan","nan","nan","nan","3F","0","12","3","2","FO06","nan","1"
"Slot","V1:L0:Q0:R12:M4","ProdDB-Virtual Manufacturer","CERN-ATLAS (somewhere)","","","","","null","","F","Front","front","236.6","51","0","4","nan","nan","nan","nan","nan","nan","nan","3F","0","12","4","2","FO06","nan","1"
"Slot","V1:L0:Q0:R12:M5","ProdDB-Virtual Manufacturer","CERN-ATLAS (somewhere)","","","","","null","","F","Front","front","271.6","48","0","5","nan","nan","nan","nan","nan","nan","nan","3F","0","12","5","2","FO06","nan","1"
"Slot","V1:L0:Q0:R13:M1","ProdDB-Virtual Manufacturer","CERN-ATLAS (somewhere)","","","","","null","","F","Front","front","195.4","54","0","1","nan","nan","nan","nan","nan","nan","nan","3F","0","13","1","1","FO07","nan","1"
"Slot","V1:L0:Q0:R13:M2","ProdDB-Virtual Manufacturer","CERN-ATLAS (somewhere)","","","","","null","","F","Front","front","236.6","51","0","2","nan","nan","nan","nan","nan","nan","nan","3F","0","13","2","1","FO07","nan","1"
"Slot","V1:L0:Q0:R13:M3","ProdDB-Virtual Manufacturer","CERN-ATLAS (somewhere)","","","","","null","","F","Front","front","271.6","48","0","3","nan","nan","nan","nan","nan","nan","nan","3F","0","13","3","1","FO07","nan","1"
"Slot","V1:L0:Q0:R13:M4","ProdDB-Virtual Manufacturer","CERN-ATLAS (somewhere)","","","","","null","","F","Front","front","306.6","44","0","4","nan","nan","nan","nan","nan","nan","nan","3F","0","13","4","1","FO07","nan","1"
"Slot","V1:L0:Q0:R14:M1","ProdDB-Virtual Manufacturer","CERN-ATLAS (somewhere)","","","","","null","","F","Front","front","306.6","44","0","1","nan","nan","nan","nan","nan","nan","nan","3F","0","14","1","2","FO07","nan","1"
"Slot","V1:L0:Q0:R15:M1","ProdDB-Virtual Manufacturer","CERN-ATLAS (somewhere)","","","","","null","","F","Front","front","44.2","61","0","1","nan","nan","nan","nan","nan","nan","nan","2B","0","15","1","1","FO08","nan","1"
"Slot","V1:L0:Q0:R15:M10","ProdDB-Virtual Manufacturer","CERN-ATLAS (somewhere)","","","","","null","","F","Front","front","390.3","36","0","10","nan","nan","nan","nan","nan","nan","nan","2B","0","15","5","1","FM08","nan","1"
"Slot","V1:L0:Q0:R15:M2","ProdDB-Virtual Manufacturer","CERN-ATLAS (somewhere)","","","","","null","","F","Front","front","85.4","59","0","2","nan","nan","nan","nan","nan","nan","nan","2B","0","15","2","1","FO08","nan","1"
"Slot","V1:L0:Q0:R15:M3","ProdDB-Virtual Manufacturer","CERN-ATLAS (somewhere)","","","","","null","","F","Front","front","126.6","57","0","3","nan","nan","nan","nan","nan","nan","nan","2B","0","15","3","1","FO08","nan","1"
"Slot","V1:L0:Q0:R15:M4","ProdDB-Virtual Manufacturer","CERN-ATLAS (somewhere)","","","","","null","","F","Front","front","167.8","55","0","4","nan","nan","nan","nan","nan","nan","nan","2B","0","15","4","1","FO08","nan","1"
"Slot","V1:L0:Q0:R15:M5","ProdDB-Virtual Manufacturer","CERN-ATLAS (somewhere)","","","","","null","","F","Front","front","208.9","53","0","5","nan","nan","nan","nan","nan","nan","nan","2B","0","15","5","1","FO08","nan","1"
"Slot","V1:L0:Q0:R15:M6","ProdDB-Virtual Manufacturer","CERN-ATLAS (somewhere)","","","","","null","","F","Front","front","250.1","50","0","6","nan","nan","nan","nan","nan","nan","nan","2B","0","15","1","1","FM08","nan","1"
"Slot","V1:L0:Q0:R15:M7","ProdDB-Virtual Manufacturer","CERN-ATLAS (somewhere)","","","","","null","","F","Front","front","285.1","46","0","7","nan","nan","nan","nan","nan","nan","nan","2B","0","15","2","1","FM08","nan","1"
"Slot","V1:L0:Q0:R15:M8","ProdDB-Virtual Manufacturer","CERN-ATLAS (somewhere)","","","","","null","","F","Front","front","320.2","42","0","8","nan","nan","nan","nan","nan","nan","nan","2B","0","15","3","1","FM08","nan","1"
"Slot","V1:L0:Q0:R15:M9","ProdDB-Virtual Manufacturer","CERN-ATLAS (somewhere)","","","","","null","","F","Front","front","355.2","39","0","9","nan","nan","nan","nan","nan","nan","nan","2B","0","15","4","1","FM08","nan","1"
"Slot","V1:L0:Q0:R16:M1","ProdDB-Virtual Manufacturer","CERN-ATLAS (somewhere)","","","","","null","","F","Front","front","44.2","61","0","1","nan","nan","nan","nan","nan","nan","nan","2B","0","16","1","2","FO08","nan","1"
"Slot","V1:L0:Q0:R16:M10","ProdDB-Virtual Manufacturer","CERN-ATLAS (somewhere)","","","","","null","","F","Front","front","390.3","36","0","10","nan","nan","nan","nan","nan","nan","nan","2B","0","16","5","2","FM08","nan","1"
"Slot","V1:L0:Q0:R16:M11","ProdDB-Virtual Manufacturer","CERN-ATLAS (somewhere)","","","","","null","","F","Front","front","425.3","33","0","11","nan","nan","nan","nan","nan","nan","nan","2B","0","16","6","2","FM08","nan","1"
"Slot","V1:L0:Q0:R16:M12","ProdDB-Virtual Manufacturer","CERN-ATLAS (somewhere)","","","","","null","","F","Front","front","460.4","30","0","12","nan","nan","nan","nan","nan","nan","nan","2B","0","16","7","2","FM08","nan","1"
"Slot","V1:L0:Q0:R16:M2","ProdDB-Virtual Manufacturer","CERN-ATLAS (somewhere)","","","","","null","","F","Front","front","85.4","59","0","2","nan","nan","nan","nan","nan","nan","nan","2B","0","16","2","2","FO08","nan","1"
"Slot","V1:L0:Q0:R16:M3","ProdDB-Virtual Manufacturer","CERN-ATLAS (somewhere)","","","","","null","","F","Front","front","126.6","57","0","3","nan","nan","nan","nan","nan","nan","nan","2B","0","16","3","2","FO08","nan","1"
"Slot","V1:L0:Q0:R16:M4","ProdDB-Virtual Manufacturer","CERN-ATLAS (somewhere)","","","","","null","","F","Front","front","167.8","55","0","4","nan","nan","nan","nan","nan","nan","nan","2B","0","16","4","2","FO08","nan","1"
"Slot","V1:L0:Q0:R16:M5","ProdDB-Virtual Manufacturer","CERN-ATLAS (somewhere)","","","","","null","","F","Front","front","208.9","53","0","5","nan","nan","nan","nan","nan","nan","nan","2B","0","16","5","2","FO08","nan","1"
"Slot","V1:L0:Q0:R16:M6","ProdDB-Virtual Manufacturer","CERN-ATLAS (somewhere)","","","","","null","","F","Front","front","250.1","50","0","6","nan","nan","nan","nan","nan","nan","nan","2B","0","16","1","2","FM08","nan","1"
"Slot","V1:L0:Q0:R16:M7","ProdDB-Virtual Manufacturer","CERN-ATLAS (somewhere)","","","","","null","","F","Front","front","285.1","46","0","7","nan","nan","nan","nan","nan","nan","nan","2B","0","16","2","2","FM08","nan","1"
"Slot","V1:L0:Q0:R16:M8","ProdDB-Virtual Manufacturer","CERN-ATLAS (somewhere)","","","","","null","","F","Front","front","320.2","42","0","8","nan","nan","nan","nan","nan","nan","nan","2B","0","16","3","2","FM08","nan","1"
"Slot","V1:L0:Q0:R16:M9","ProdDB-Virtual Manufacturer","CERN-ATLAS (somewhere)","","","","","null","","F","Front","front","355.2","39","0","9","nan","nan","nan","nan","nan","nan","nan","2B","0","16","4","2","FM08","nan","1"
"Slot","V1:L0:Q0:R17:M1","ProdDB-Virtual Manufacturer","CERN-ATLAS (somewhere)","","","","","null","","F","Front","front","44.2","61","0","1","nan","nan","nan","nan","nan","nan","nan","2B","0","17","1","1","FO10","nan","1"
"Slot","V1:L0:Q0:R17:M10","ProdDB-Virtual Manufacturer","CERN-ATLAS (somewhere)","","","","","null","","F","Front","front","390.3","36","0","10","nan","nan","nan","nan","nan","nan","nan","2B","0","17","5","1","FM10","nan","1"
"Slot","V1:L0:Q0:R17:M11","ProdDB-Virtual Manufacturer","CERN-ATLAS (somewhere)","","","","","null","","F","Front","front","425.3","33","0","11","nan","nan","nan","nan","nan","nan","nan","2B","0","17","1","1","FM09","nan","1"
