Part ID,Serial #,Barcode,Version,Name Label,KindOfPart,Manufacturer,Comments,User,Action
31191,VM:L1:Q0:R4:M12,,,,Slot,ProdDB-Virtual Manufacturer,,anstein,
31385,VM:L1:Q0:R21:M1,,,,Slot,ProdDB-Virtual Manufacturer,,anstein,
31384,VM:L1:Q0:R21:M2,,,,Slot,ProdDB-Virtual Manufacturer,,anstein,
31383,VM:L1:Q0:R21:M3,,,,Slot,ProdDB-Virtual Manufacturer,,anstein,
31382,VM:L1:Q0:R21:M4,,,,Slot,ProdDB-Virtual Manufacturer,,anstein,
31381,VM:L1:Q0:R21:M5,,,,Slot,ProdDB-Virtual Manufacturer,,anstein,
31380,VM:L1:Q0:R21:M6,,,,Slot,ProdDB-Virtual Manufacturer,,anstein,
31379,VM:L1:Q0:R21:M7,,,,Slot,ProdDB-Virtual Manufacturer,,anstein,
31378,VM:L1:Q0:R21:M8,,,,Slot,ProdDB-Virtual Manufacturer,,anstein,
31377,VM:L1:Q0:R21:M9,,,,Slot,ProdDB-Virtual Manufacturer,,anstein,
31376,VM:L1:Q0:R21:M10,,,,Slot,ProdDB-Virtual Manufacturer,,anstein,
31375,VM:L1:Q0:R21:M11,,,,Slot,ProdDB-Virtual Manufacturer,,anstein,
31374,VM:L1:Q0:R21:M12,,,,Slot,ProdDB-Virtual Manufacturer,,anstein,
31373,VM:L1:Q0:R21:M13,,,,Slot,ProdDB-Virtual Manufacturer,,anstein,
31372,VM:L1:Q0:R21:M14,,,,Slot,ProdDB-Virtual Manufacturer,,anstein,
31371,VM:L1:Q0:R21:M15,,,,Slot,ProdDB-Virtual Manufacturer,,anstein,
31370,VM:L1:Q0:R21:M16,,,,Slot,ProdDB-Virtual Manufacturer,,anstein,
31369,VM:L1:Q0:R21:M17,,,,Slot,ProdDB-Virtual Manufacturer,,anstein,
31368,VM:L1:Q0:R21:M18,,,,Slot,ProdDB-Virtual Manufacturer,,anstein,
31367,VM:L1:Q0:R20:M1,,,,Slot,ProdDB-Virtual Manufacturer,,anstein,
31366,VM:L1:Q0:R20:M2,,,,Slot,ProdDB-Virtual Manufacturer,,anstein,
31365,VM:L1:Q0:R20:M3,,,,Slot,ProdDB-Virtual Manufacturer,,anstein,
31364,VM:L1:Q0:R20:M4,,,,Slot,ProdDB-Virtual Manufacturer,,anstein,
